City,Date,Temperature,Consumption,Humidity,Wind,Pressure
Riyadh,2025-06-25,22.2,855.53,77,17.3,991
Riyadh,2025-06-26,21.5,949.2,19,3.6,992
Riyadh,2025-06-27,22.9,1293.49,46,1.0,967
Riyadh,2025-06-28,33.8,1260.36,52,18.5,980
Riyadh,2025-06-29,43.4,1615.59,20,3.3,1047
Riyadh,2025-06-30,27.4,1991.09,62,5.2,992
Riyadh,2025-07-01,37.2,1180.45,82,6.8,1011
Riyadh,2025-07-02,26.2,1774.2,61,15.8,950
Riyadh,2025-07-03,29.3,1736.61,29,27.0,1011
Riyadh,2025-07-04,27.6,1604.74,28,17.9,978
Riyadh,2025-07-05,32.3,800.98,72,25.8,1029
Riyadh,2025-07-06,27.8,972.96,21,15.5,1007
Riyadh,2025-07-07,29.1,1552.24,55,7.4,967
Riyadh,2025-07-08,35.0,851.62,76,17.5,996
Riyadh,2025-07-09,21.0,1468.95,82,1.3,991
Riyadh,2025-07-10,37.5,1313.49,24,26.6,1022
Riyadh,2025-07-11,31.6,1617.12,59,7.8,1020
Riyadh,2025-07-12,24.3,1682.55,15,1.1,1016
Riyadh,2025-07-13,23.0,932.8,72,9.1,1022
Riyadh,2025-07-14,28.9,1856.74,54,8.7,964
Riyadh,2025-07-15,29.5,1790.55,81,3.5,1035
Riyadh,2025-07-16,29.1,853.31,10,21.3,976
Riyadh,2025-07-17,28.2,1021.98,76,25.7,1021
Riyadh,2025-07-18,44.2,1246.49,87,14.4,1025
Riyadh,2025-07-19,37.4,1690.22,21,1.7,977
Riyadh,2025-07-20,45.0,1517.31,38,14.5,1036
Riyadh,2025-07-21,29.6,1491.74,33,14.8,994
Riyadh,2025-07-22,43.7,1453.37,51,10.5,969
Riyadh,2025-07-23,37.1,1178.5,13,13.9,1023
Riyadh,2025-07-24,31.6,1983.94,43,2.2,974
Jeddah,2025-06-25,21.0,1758.02,33,27.3,992
Jeddah,2025-06-26,43.7,1053.36,70,17.4,999
Jeddah,2025-06-27,40.8,1771.53,43,21.4,985
Jeddah,2025-06-28,23.0,1570.14,40,29.8,1021
Jeddah,2025-06-29,27.6,843.48,69,12.6,1005
Jeddah,2025-06-30,34.4,1432.52,42,17.7,961
Jeddah,2025-07-01,43.6,1860.36,60,11.0,1002
Jeddah,2025-07-02,41.0,886.44,49,25.4,992
Jeddah,2025-07-03,32.6,1174.32,40,13.1,1046
Jeddah,2025-07-04,20.4,837.99,49,10.6,1012
Jeddah,2025-07-05,30.5,1318.53,88,11.0,968
Jeddah,2025-07-06,40.0,1224.14,35,19.7,1011
Jeddah,2025-07-07,36.4,1483.02,44,23.3,1043
Jeddah,2025-07-08,35.2,1247.67,62,27.0,985
Jeddah,2025-07-09,24.6,1107.88,46,15.8,1003
Jeddah,2025-07-10,39.3,1628.93,49,8.7,1037
Jeddah,2025-07-11,34.7,1486.8,60,5.2,963
Jeddah,2025-07-12,42.9,1247.19,80,2.3,992
Jeddah,2025-07-13,28.3,1683.44,43,29.1,1040
Jeddah,2025-07-14,27.1,1687.36,72,6.5,971
Jeddah,2025-07-15,23.7,1441.55,55,14.6,960
